30,16,4
8,
1,
174.0000,607.0000,310.0000,371.0000,456.0000,719.0000,304.0000,908.0000,313.0000,194.0000,936.0000,665.0000,139.0000,885.0000,733.0000,46.0000,666.0000,899.0000,817.0000,880.0000,876.0000,191.0000,43.0000,401.0000,789.0000,615.0000,271.0000,338.0000,15.0000,19.0000,
0.9300,0.8500,0.5400,0.8200,0.8500,0.6400,0.6000,0.9400,0.6200,0.8100,0.5100,0.5800,0.5500,0.8000,0.7800,0.8800,0.5100,0.8700,0.9300,0.9600,0.9600,0.8900,0.9200,0.6500,0.9100,0.7300,0.5900,0.6800,0.9800,0.9900,0.5200,0.9300,0.9700,0.6800,0.5200,0.8000,0.8300,0.5300,0.5800,0.6600,0.7500,0.7000,0.6400,0.9000,0.6200,0.6900,0.7400,0.9200,0.9600,0.7400,0.6200,0.5500,0.6600,0.6200,0.6400,0.9800,0.7900,0.5200,0.6600,0.8600,0.7800,0.5400,0.7300,0.8100,
0.7600,0.7000,0.8800,0.9300,0.9500,0.9400,0.6300,0.5700,0.6100,0.5400,0.7100,0.5400,0.9100,0.8600,0.9300,0.9200,0.7900,0.6700,0.9600,0.9600,0.6900,0.9500,0.7500,0.8700,0.6000,0.5500,0.6600,0.7500,0.5300,0.9200,0.5900,0.8800,0.6300,0.6400,0.6900,0.8900,0.5800,0.8800,0.7700,0.5600,0.9700,0.7300,0.9400,0.8500,0.9400,0.9200,0.9200,0.7800,0.7000,0.8400,0.8600,0.9600,0.7100,0.6100,0.8800,0.9800,0.8200,0.7600,0.8100,0.6300,0.8500,0.5400,0.9700,0.6000,
0.6500,0.9400,0.8400,0.9300,0.8700,0.7000,0.7600,0.5400,0.6600,0.6000,0.5800,0.9200,0.5300,0.7600,0.5200,0.8800,0.7100,0.7000,0.8700,0.7000,0.6900,0.6700,0.9400,0.8600,0.6400,0.5300,0.8200,0.6600,0.5800,0.8600,0.5300,0.7200,0.7500,0.5900,0.5300,0.5800,0.9000,0.6400,0.6400,0.8600,0.6900,0.7100,0.6000,0.6900,0.7300,0.8400,0.6200,0.7500,0.7100,0.9700,0.9000,0.5300,0.7600,0.8800,0.6100,0.6200,0.5700,0.7600,0.9800,0.7500,0.5500,0.7800,0.6700,0.9600,
0.5400,0.8600,0.7700,0.5900,0.5700,0.7400,0.7500,0.5200,0.5300,0.6600,0.8500,0.5500,0.9700,0.5500,0.9500,0.8400,0.8600,0.9300,0.6900,0.7000,0.5900,0.5000,0.9800,0.6500,0.6300,0.6700,0.5300,0.8900,0.5700,0.6400,0.7300,0.9800,0.9700,0.6300,0.7600,0.8800,0.9600,0.9000,0.8100,0.6700,0.9500,0.9700,0.7400,0.5800,0.6800,0.8000,0.5700,0.8700,0.6300,0.6200,0.7100,0.6700,0.7700,0.9200,0.5400,0.8700,0.6100,0.9700,0.5500,0.9500,0.5300,0.8600,0.6100,0.5400,
0.6000,0.7400,0.7900,0.6800,0.7000,0.5200,0.7200,0.5100,0.7000,0.7600,0.5400,0.7200,0.6000,0.8400,0.7800,0.5700,0.5300,0.6200,0.5500,0.5300,0.6200,0.6300,0.9300,0.6600,0.6800,0.8500,0.7500,0.8700,0.6400,0.9000,0.7200,0.7100,0.8500,0.7000,0.8900,0.6100,0.9300,0.6500,0.7600,0.9100,0.5900,0.7600,0.8700,0.5000,0.8300,0.9200,0.7400,0.6100,0.5600,0.7600,0.6700,0.6000,0.8100,0.8000,0.6500,0.9600,0.8000,0.8600,0.6200,0.8400,0.9500,0.6100,0.9700,0.7000,
0.9400,0.7500,0.8800,0.8200,0.8100,0.6000,0.8300,0.6400,0.9800,0.6500,0.5900,0.6400,0.8600,0.7700,0.5300,0.7000,0.6400,0.7900,0.6900,0.9300,0.5500,0.6000,0.6400,0.8300,0.5800,0.8800,0.6000,0.7600,0.9700,0.9800,0.6500,0.5200,0.6700,0.9100,0.8700,0.9100,0.6800,0.9200,0.5200,0.6300,0.8300,0.6200,0.7400,0.6900,0.9200,0.5400,0.7600,0.9500,0.7400,0.9900,0.8800,0.7700,0.6000,0.9000,0.7400,0.8100,0.9000,0.5800,0.6400,0.5200,0.6600,0.6300,0.7100,0.6500,
0.7700,0.7100,0.5900,0.5700,0.7800,0.5600,0.5300,0.5700,0.6900,0.8700,0.5100,0.5800,0.6000,0.7400,0.7700,0.5200,0.8700,0.5800,0.9300,0.6900,0.5500,0.9100,0.9100,0.9400,0.7800,0.9500,0.6200,0.9400,0.5800,0.9900,0.5600,0.7200,0.6800,0.8000,0.5500,0.9000,0.9600,0.9000,0.9400,0.7800,0.6800,0.8200,0.6400,0.5800,0.5400,0.7900,0.6900,0.8700,0.5800,0.5500,0.9100,0.8000,0.6100,0.6300,0.7500,0.8300,0.9200,0.5700,0.8500,0.5200,0.8000,0.6400,0.7800,0.6000,
0.7000,0.5200,0.7500,0.9600,0.8400,0.9900,0.9800,0.5400,0.8700,0.7500,0.6300,0.8200,0.6000,0.7900,0.6200,0.6700,0.7600,0.6200,0.5400,0.6600,0.7300,0.7000,0.8000,0.6800,0.6100,0.6000,0.5200,0.5500,0.7900,0.8200,0.6500,0.9700,0.8600,0.7600,0.5600,0.5100,0.7000,0.6300,0.8300,0.6100,0.9000,0.9200,0.6000,0.5700,0.8500,0.9800,0.5600,0.8600,0.7000,0.9800,0.8300,0.5600,0.8700,0.5500,0.9600,0.6100,0.7400,0.7600,0.6000,0.6000,0.9300,0.5100,0.5400,0.7200,
0.8100,0.7300,0.5100,0.7800,0.6900,0.5700,0.7500,0.9800,0.9400,0.9300,0.5900,0.5200,0.5600,0.9100,0.9100,0.5900,0.9800,0.7100,0.9100,0.6600,0.5700,0.8600,0.5200,0.7000,0.5100,0.9000,0.6500,0.6100,0.7000,0.9100,0.9800,0.8300,0.7400,0.7300,0.6200,0.7300,0.6500,0.7500,0.5400,0.9100,0.5500,0.7700,0.8000,0.8300,0.9500,0.7100,0.8200,0.9300,0.6700,0.8500,0.8100,0.8600,0.9900,0.7900,0.6200,0.8000,0.9700,0.6900,0.6000,0.7200,0.5900,0.8800,0.5400,0.5600,
0.5600,0.7800,0.8600,0.8600,0.6400,0.7800,0.8200,0.5100,0.6700,0.9600,0.5400,0.9700,0.6200,0.6000,0.9200,0.5100,0.5200,0.8900,0.8600,0.7600,0.8800,0.5500,0.8200,0.6000,0.8400,0.5000,0.5500,0.8700,0.5200,0.9200,0.9400,0.7800,0.5800,0.7400,0.8800,0.9400,0.5200,0.9600,0.8800,0.6000,0.5700,0.9600,0.5900,0.5900,0.6700,0.8400,0.6500,0.9300,0.9700,0.7500,0.8700,0.7000,0.8400,0.6300,0.9100,0.6400,0.7500,0.6700,0.8900,0.8600,0.7500,0.7900,0.6900,0.5700,
